CH		WOOD															STONE															POTION															BOOK														WOOD2 (Board)																SOUL CRYSTAL															BONES2															WAX														POTION2															MUSHROOM														BOOK2															SOUL CRYSTAL2															WAX2															MUSHROOM2													
		LVL	MULT	Wood	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		Level	Multiplier	Stone	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	Potion	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	Book	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Board	Board	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration			LVL	MULT	SoulCrystal	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	BonesBlock	BonesBlock	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Wax	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Potion2	Potion2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Mushroom	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	MagicScrolls	MagicScrolls	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	SoulCrystal2	SoulCrystal2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	EvilHoney	EvilHoney	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Mushroom2	Mushroom2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration
4		85	1	105383	27657	Stone	45	A	 316 148	1	5	0					55	1	3866	56612	Stone	65	A	11599	6	42	1					25	1	73	238	Potion	65	A	219	2	0	0																																																																																																																																																																						
4		86	1	114867	30975	Stone	45	A	 344 601	1	5	0					56	1	4214	67934	Stone	65	A	12642	7	49	1					26	1	79	286	Potion	65	A	238	2	0	0																																																																																																																																																																						
4		87	1	125205	34692	Stone	45	A	 375 616	1	5	0					57	1	4593	81521	Stone	65	A	13780	8	56	1					27	1	87	343	Potion	65	A	260	2	0	0																																																																																																																																																																						
4		88	1	136474	38855	Stone	45	A	 409 421	1	5	0					58	1	5007	97826	Stone	65	A	15020	8	56	1					28	1	94	412	Potion	65	A	283	2	0	0																																																																																																																																																																						
4		89	1	148756	43518	Stone	45	A	 446 269	1	5	0					59	1	5457	117391	Stone	65	A	16372	9	63	1					29	1	103	495	Potion	65	A	308	2	0	0																																																																																																																																																																						
4		90	1	162144	48740	Stone	45	A	 486 433	1	5	0					60	1	5949	140869	Stone	65	A	17846	1	7	0					30	2	224	593	Potion	65	A	673	2	0	0																																																																																																																																																																						
4		91	1	176737	54589	Stone	55	A	 530 212	1	5	0					61	1	6484	2000	Potion	65	A	19452	1	7	0		2000			31	1	244	712	Potion	65	A	733	2	0	0					1	1	1	0	Book	55	A	3	2	14	0		7																																																																																																																																																					
4		92	1	192644	61140	Stone	55	A	 577 931	1	5	0					62	1	7068	2300	Potion	65	A	21203	1	7	0		1.15			32	1	266	855	Potion	65	A	799	2	0	0					2	1	2	4	Book	65	A	6	1	7	0	TYCOON	1																																																																																																																																																					
4		93	1	209982	68477	Stone	55	A	 629 945	1	5	0					63	1	7704	2645	Potion	65	A	23111	1	7	0		1.15			33	1	290	1025	Potion	65	A	871	2	0	0					3	1	3	4	Book	65	A	9	1	7	0	MERGE	0																																																																																																																																																					
4		94	1	228880	76694	Stone	55	A	 686 640	1	5	0					64	1	8397	3042	Potion	65	A	25191	1	7	0		1.15			34	1	316	1231	Potion	65	A	949	2	0	0					4	1	4	5	Book	65	A	12	1	7	0																																																																																																																																																							
4		95	1	249479	85897	Stone	55	A	 748 438	1	5	0					65	1	9153	3498	Potion	65	A	27458	1	7	0		1.15			35	1	345	1477	Potion	65	A	1035	2	0	0					5	1	5	6	Book	65	A	15	1	7	0																																																																																																																																																							
4		96	1	271932	96205	Stone	55	A	 815 797	1	5	0					66	1	9976	4023	Potion	65	A	29929	1	7	0		1.15			36	1	376	1772	Potion	65	A	1128	2	0	0					6	1	6	7	Book	65	A	18	1	7	0																																																																																																																																																							
4		97	1	296406	107749	Stone	55	A	 889 219	1	5	0					67	1	10874	4626	Potion	65	A	32623	1	7	0		1.15			37	1	410	2126	Potion	65	A	1229	3	0	0					7	1	7	9	Book	65	A	21	1	7	0																																																																																																																																																							
4		98	1	323083	120679	Stone	55	A	 969 248	1	5	0					68	1	11853	5320	Potion	65	A	35559	1	7	0		1.15			38	1	447	2552	Potion	65	A	1340	3	0	0					8	1	8	11	Book	65	A	24	1	7	0																																																																																																																																																							
4		99	1	352160	135161	Stone	55	A	1 056 481	1	5	0					69	1	12920	6118	Potion	65	A	38759	1	7	0		1.15			39	1	487	3062	Potion	65	A	1461	3	0	0					9	1	9	13	Book	65	A	27	1	7	0																																																																																																																																																							
4		100	1	383855	151380	Stone	55	A	1 151 564	1	5	0					70	1	14083	7036	Potion	65	A	42248	1	7	0		1.15			40	1	531	3674	Potion	65	A	1592	3	0	0					10	1	10	15	Book	65	A	30	1	7	0																																																																																																																																																							
4		101	1	418402	169546	Stone	55	A	1 255 205	1	5	0					71	1	15350	8091	Potion	65	A	46050	1	7	0		1.15			41	1	578	4409	Potion	65	A	1735	4	0	0					11	2	22	19	Book	65	A	65	1	7	0																																																																																																																																																							
4		102	1	456058	189891	Stone	55	A	1 368 173	1	5	0					72	1	16731	9305	Potion	65	A	50194	1	7	0		1.15			42	1	631	5291	Potion	65	A	1892	4	0	0					12	1	24	22	Book	65	A	71	1	7	0																																																																																																																																																							
4		103	1	497103	212678	Stone	55	A	1 491 309	1	5	0					73	1	18237	10701	Potion	65	A	54712	1	7	0		1.15			43	1	687	6349	Potion	65	A	2062	4	0	0					13	1	26	27	Book	65	A	78	1	7	0																																																																																																																																																							
4		104	1	541842	238200	Stone	55	A	1 625 527	1	5	0					74	1	19879	12306	Potion	65	A	59636	1	7	0		1.15			44	1	749	7619	Potion	65	A	2247	5	0	0					14	1	28	32	Book	65	A	85	1	7	0																																																																																																																																																							
4		105	1	590608	266783	Stone	55	A	1 771 824	1	5	0					75	1	21668	14151	Potion	65	A	65003	1	7	0		1.15			45	1	817	9143	Potion	65	A	2450	5	0	0					15	1	31	39	Book	65	A	92	1	7	0																																																																																																																																																							
4		106	1	643763	298797	Stone	55	A	1 931 288	1	5	0					76	1	23618	16274	Potion	65	A	70853	1	7	0		1.15			46	1	890	10972	Potion	65	A	2670	5	0	0					16	1	34	46	Book	65	A	101	1	7	0																																																																																																																																																							
4		107	1	701701	334653	Stone	55	A	2 105 104	1	5	0					77	1	25743	18715	Potion	65	A	77230	1	7	0		1.15			47	1	970	13166	Potion	65	A	2910	6	0	0					17	1	37	55	Book	65	A	110	1	7	0																																																																																																																																																							
4		108	1	764854	374812	Stone	55	A	2 294 563	1	5	0					78	1	28060	21523	Potion	65	A	84181	1	7	0		1.15			48	1	1057	15799	Potion	65	A	3172	6	0	0					18	1	40	67	Book	65	A	120	1	7	0																																																																																																																																																							
4		109	1	833691	419789	Stone	55	A	2 501 074	1	5	0					79	1	30586	24751	Potion	65	A	91757	1	7	0		1.15			49	1	1153	18959	Potion	65	A	3458	7	0	0					19	1	43	80	Book	65	A	130	1	7	0																																																																																																																																																							
4		110	1	908724	470164	Stone	55	A	2 726 171	1	5	0					80	1	33338	28464	Potion	75	A	100015	1	7	0		1.15			50	1	1256	22751	Potion	75	A	3769	8	0	0					20	1	47	96	Book	75	A	142	1	7	0																																																																																																																																																							
5		111	2	1981017	8000	Potion	65	A	5 943 052	1	5	0					81	2	72678	32733	Potion	75	A	218033	1	7	0		1.15			51	2	2739	27301	Potion	75	A	8217	4	0	0					21	1	52	115	Book	75	A	155	1	7	0																																																																																																																																																							
5		112	1	2159309	8960	Potion	65	A	6 477 927	1	5	0					82	1	79219	37643	Potion	75	A	237656	1	7	0		1.15			52	1	2985	32762	Potion	75	A	8956	5	0	0					22	1	56	138	Book	75	A	169	1	7	0																																																																																																																																																							
5		113	1	2353647	10035	Potion	65	A	7 060 940	1	5	0					83	1	86348	43289	Potion	75	A	259045	1	7	0		1.15			53	1	3254	39314	Potion	75	A	9762	5	0	0					23	1	61	166	Book	75	A	184	2	14	0																																																																																																																																																							
5		114	1	2565475	11239	Potion	65	A	7 696 425	1	5	0					84	1	94120	49783	Potion	75	A	282359	1	7	0		1.15			54	1	3547	47177	Potion	75	A	10641	6	0	0					24	1	67	199	Book	75	A	201	2	14	0																																																																																																																																																							
5		115	1	2796368	12588	Potion	65	A	8 389 103	1	5	0					85	1	102591	57250	Potion	75	A	307772	1	7	0		1.15			55	1	3866	56612	Potion	75	A	11599	6	0	0					25	1	73	238	Book	75	A	219	2	14	0																																																																																																																																																							
5		116	1	3048041	14099	Potion	65	A	9 144 122	1	5	0					86	1	111824	65838	Potion	75	A	335471	1	7	0		1.15			56	1	4214	67934	Potion	75	A	12642	7	0	0					26	1	79	286	Book	75	A	238	2	14	0																																																																																																																																																							
5		117	1	3322364	15791	Potion	65	A	9 967 093	1	5	0					87	1	121888	75714	Potion	75	A	365663	1	7	0		1.15			57	1	4593	81521	Potion	75	A	13780	8	0	0					27	1	87	343	Book	75	A	260	2	14	0																																																																																																																																																							
5		118	1	3621377	17685	Potion	65	A	10 864 132	1	5	0					88	1	132858	87071	Potion	75	A	398573	1	7	0		1.15			58	1	5007	97826	Potion	75	A	15020	8	0	0					28	1	94	412	Book	75	A	283	2	14	0																																																																																																																																																							
5		119	1	3947301	19808	Potion	65	A	11 841 904	1	5	0					89	1	144815	100131	Potion	75	A	434445	1	7	0		1.15			59	1	5457	117391	Potion	75	A	16372	9	0	0					29	1	103	495	Book	75	A	308	2	14	0																																																																																																																																																							
5		120	1	4302558	22185	Potion	65	A	12 907 675	1	5	0					90	1	157848	115151	Potion	75	A	473545	1	7	0		1.15			60	1	5949	140869	Potion	75	A	17846	1	0	0					30	2	224	593	Book	75	A	673	2	14	0																																																																																																																																																							
5		121	1	4689789	24847	Potion	65	A	14 069 366	1	5	0					91	1	172055	2000	Book	75	A	516164	1	7	0		2000			61	1	6484	2000	Book	75	A	19452	1	0	0		2000			31	1	244	712	Book	75	A	733	2	14	0																																																																																																																																																							
5		122	1	5111869	27828	Potion	65	A	15 335 608	1	5	0					92	1	187540	2300	Book	75	A	562619	1	7	0		1.15			62	1	7068	2300	Book	75	A	21203	1	0	0		1.15			32	1	266	855	Book	75	A	799	2	14	0																																																																																																																																																							
5		123	1	5571938	31168	Potion	65	A	16 715 813	1	5	0					93	1	204418	2645	Book	75	A	613254	1	7	0		1.15			63	1	7704	2645	Book	75	A	23111	1	0	0		1.15			33	1	290	1025	Book	75	A	871	2	14	0																																																																																																																																																							
5		124	1	6073412	34908	Potion	65	A	18 220 236	1	5	0					94	1	222816	3042	Book	75	A	668447	1	7	0		1.15			64	1	8397	3042	Book	75	A	25191	1	0	0		1.15			34	1	316	1231	Book	75	A	949	2	14	0																																																																																																																																																							
5		125	1	6620019	39097	Potion	65	A	19 860 058	1	5	0					95	1	242869	3498	Book	75	A	728607	1	7	0		1.15			65	1	9153	3498	Book	75	A	27458	1	0	0		1.15			35	1	345	1477	Book	75	A	1035	2	14	0																																																																																																																																																							
5		126	1	7215821	43789	Potion	65	A	21 647 463	1	5	0					96	1	264727	4023	Book	75	A	794182	1	7	0		1.15			66	1	9976	4023	Book	75	A	29929	1	0	0		1.15			36	1	376	1772	Book	75	A	1128	2	14	0																																																																																																																																																							
5		127	1	7865245	49043	Potion	65	A	23 595 735	1	5	0					97	1	288553	4626	Book	75	A	865658	1	7	0		1.15			67	1	10874	4626	Book	75	A	32623	1	0	0		1.15			37	1	410	2126	Book	75	A	1229	3	21	0																																																																																																																																																							
5		128	1	8573117	54928	Potion	65	A	25 719 351	1	5	0					98	1	314523	5320	Book	75	A	943568	1	7	0		1.15			68	1	11853	5320	Book	75	A	35559	1	0	0		1.15			38	1	447	2552	Book	75	A	1340	3	21	0																																																																																																																																																							
5		129	1	9344697	61520	Potion	65	A	28 034 092	1	5	0					99	1	342830	6118	Book	75	A	1028489	1	7	0		1.15			69	1	12920	6118	Book	75	A	38759	1	0	0		1.15			39	1	487	3062	Book	75	A	1461	3	21	0																																																																																																																																																							
5		130	1	10185720	68902	Potion	65	A	30 557 161	1	5	0					100	1	373684	7036	Book	75	A	1121053	1	7	0		1.15			70	1	14083	7036	Book	75	A	42248	1	0	0		1.15			40	1	531	3674	Book	75	A	1592	3	21	0																																																																																																																																																							
5		131	1	11102435	77170	Potion	75	A	33 307 305	1	5	0					101	1	407316	8091	Book	75	A	1221948	1	7	0		1.15			71	1	15350	8091	Book	75	A	46050	1	0	0		1.15			41	1	578	4409	Book	75	A	1735	4	28	0																																																																																																																																																							
