Generator level	Price	Amount	Duration	Spawns Required	Id	Spawn 1	Chance	Spawn 2	Chance	Spawn 3	Chance	Capacity	Recharge cost	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	1	2	3
2	MergeRune1	6	120	8	Chicken	Creature5	1	Creature6	0	Hard	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune1	8	120	8	Chicken	Creature5	0.8	Creature6	0.2	Hard	0	0	0	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune1	12	7200	16	Chicken	Creature5	0.8	Creature6	0.2	Hard	0	0	0	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune1	17	7200	16	Chicken	Creature5	0.8	Creature6	0.2	Hard	0	0	0	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune1	27	14400	32	Chicken	Creature5	0.8	Creature6	0.2	Hard	0	0	0	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune1	42	14400	32	Chicken	Creature5	0.79	Creature6	0.21	Hard	0	0	0	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune1	68	28800	32	Chicken	Creature5	0.81	Creature6	0.19	Hard	0	0	0	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune1	108	28800	32	Chicken	Creature5	0.8	Creature6	0.2	Hard	0	0	0	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune1	172	43200	32	Chicken	Creature5	0.82	Creature6	0.18	Hard	0	0	0	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune2	13			Egg_Creature3	Creature7	1	Creature8	0	Hard	0	15	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune2	5	120	40	Egg_Creature3	Creature7	1	Creature8	0	Hard	0	17	9	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune2	8	120	45	Egg_Creature3	Creature7	0.8	Creature8	0.2	Hard	0	19	10	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune2	13	7200	95	Egg_Creature3	Creature7	0.8	Creature8	0.2	Hard	0	21	11	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune2	21	7200	100	Egg_Creature3	Creature7	0.8	Creature8	0.2	Hard	0	23	12	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune2	33	14400	120	Egg_Creature3	Creature7	0.8	Creature8	0.2	Hard	0	25	13	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune2	53	14400	120	Egg_Creature3	Creature7	0.79	Creature8	0.21	Hard	0	27	15	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune2	84	28800	120	Egg_Creature3	Creature7	0.81	Creature8	0.19	Hard	0	29	17	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune2	135	28800	120	Egg_Creature3	Creature7	0.8	Creature8	0.2	Hard	0	31	19	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune2	215	43200	120	Egg_Creature3	Creature7	0.82	Creature8	0.18	Hard	0	33	21	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune1	15			Egg_Creature4	Creature9	1	Creature10	0	Hard	0	15	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune1	6	120	40	Egg_Creature4	Creature9	1	Creature10	0	Hard	0	17	11	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune1	10	120	45	Egg_Creature4	Creature9	0.8	Creature10	0.2	Hard	0	19	12	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune1	16	7200	95	Egg_Creature4	Creature9	0.8	Creature10	0.2	Hard	0	21	13	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune1	25	7200	100	Egg_Creature4	Creature9	0.8	Creature10	0.2	Hard	0	23	15	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune1	40	14400	120	Egg_Creature4	Creature9	0.8	Creature10	0.2	Hard	0	25	17	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune1	63	14400	120	Egg_Creature4	Creature9	0.79	Creature10	0.21	Hard	0	27	19	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune1	101	28800	120	Egg_Creature4	Creature9	0.81	Creature10	0.19	Hard	0	29	20	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune1	162	28800	120	Egg_Creature4	Creature9	0.8	Creature10	0.2	Hard	0	31	22	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune1	258	43200	120	Egg_Creature4	Creature9	0.82	Creature10	0.18	Hard	0	33	24	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune2	20			Egg_Creature5	Creature11	1	Creature12	0	Hard	0	15	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune2	8	120	40	Egg_Creature5	Creature11	1	Creature12	0	Hard	0	17	14	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune2	13	120	45	Egg_Creature5	Creature11	0.8	Creature12	0.2	Hard	0	19	15	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune2	21	7200	95	Egg_Creature5	Creature11	0.8	Creature12	0.2	Hard	0	21	16	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune2	33	7200	100	Egg_Creature5	Creature11	0.8	Creature12	0.2	Hard	0	23	17	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune2	53	14400	120	Egg_Creature5	Creature11	0.8	Creature12	0.2	Hard	0	25	19	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune2	84	14400	120	Egg_Creature5	Creature11	0.79	Creature12	0.21	Hard	0	27	20	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune2	135	28800	120	Egg_Creature5	Creature11	0.81	Creature12	0.19	Hard	0	29	21	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune2	215	28800	120	Egg_Creature5	Creature11	0.8	Creature12	0.2	Hard	0	31	22	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune2	344	43200	120	Egg_Creature5	Creature11	0.82	Creature12	0.18	Hard	0	33	24	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune1	25			Egg_Creature6	Creature13	1	Creature14	0	Hard	0	15	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune1	10	120	40	Egg_Creature6	Creature13	1	Creature14	0	Hard	0	17	16	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune1	16	120	45	Egg_Creature6	Creature13	0.8	Creature14	0.2	Hard	0	19	17	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune1	26	7200	95	Egg_Creature6	Creature13	0.8	Creature14	0.2	Hard	0	21	18	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune1	41	7200	100	Egg_Creature6	Creature13	0.8	Creature14	0.2	Hard	0	23	19	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune1	66	14400	120	Egg_Creature6	Creature13	0.8	Creature14	0.2	Hard	0	25	20	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune1	105	14400	120	Egg_Creature6	Creature13	0.79	Creature14	0.21	Hard	0	27	21	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune1	168	28800	120	Egg_Creature6	Creature13	0.81	Creature14	0.19	Hard	0	29	22	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune1	269	28800	120	Egg_Creature6	Creature13	0.8	Creature14	0.2	Hard	0	31	23	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune1	430	43200	120	Egg_Creature6	Creature13	0.82	Creature14	0.18	Hard	0	33	24	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MergeRune2	30			Egg_Creature7	Creature15	1	Creature16	0	Hard	0	15	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MergeRune2	20	120	40	Egg_Creature7	Creature15	1	Creature16	0	Hard	0	17	18	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MergeRune2	31	120	45	Egg_Creature7	Creature15	0.8	Creature16	0.2	Hard	0	19	19	0.36	0.48	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MergeRune2	50	7200	95	Egg_Creature7	Creature15	0.8	Creature16	0.2	Hard	0	21	20	0.21	0.44	0.29	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	MergeRune2	79	7200	100	Egg_Creature7	Creature15	0.8	Creature16	0.2	Hard	0	23	21	0.13	0.35	0.35	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0.35	0.5	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	MergeRune2	126	14400	120	Egg_Creature7	Creature15	0.8	Creature16	0.2	Hard	0	25	22	0.13	0.25	0.33	0.21	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.45	0.3	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	MergeRune2	202	14400	120	Egg_Creature7	Creature15	0.79	Creature16	0.21	Hard	0	27	23	0.13	0.18	0.28	0.25	0.13	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.33	0.33	0.14	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	MergeRune2	323	28800	120	Egg_Creature7	Creature15	0.81	Creature16	0.19	Hard	0	29	24	0.12	0.11	0.23	0.27	0.17	0.07	0.01	0	0	0	0	0	0	0	0	0	0.11	0.26	0.37	0.21	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	MergeRune2	516	28800	120	Egg_Creature7	Creature15	0.8	Creature16	0.2	Hard	0	31	25	0.13	0.13	0.18	0.22	0.2	0.1	0.04	0.01	0	0	0	0	0	0	0	0	0.1	0.15	0.3	0.25	0.15	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
10	MergeRune2	750	43200	120	Egg_Creature7	Creature15	0.82	Creature16	0.18	Hard	0	33	26	0.12	0.12	0.12	0.23	0.2	0.13	0.06	0.01	0	0	0	0	0	0	0	0	0.11	0.11	0.28	0.28	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
1					Entity_Box	MergeRune1	0	MergeRune2	0	Hard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3					Res_Box	MergeRune1	0.5	MergeRune2	0	Hard	0.5	5	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0
4					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5					Res_Box	MergeRune1	0	MergeRune2	0.5	Hard	0.5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0
6					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7					Res_Box	MergeRune1	0.33	MergeRune2	0.33	Hard	0.34	4	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0
