Generator level	Price	Amount	Duration	Merges Required	Id	Spawn 1	Chance	Spawn 2	Chance	Spawn 3	Chance	Capacity	Recharge cost	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	DestroyerLevel
1	MergeRune1	60			Egg_Creature6	Creature13	1	Creature14	0	Hard	0	15	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
2					Egg_Creature6	Creature13	0.9	Creature14	0.1	Hard	0	20	17	0.6	0.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3					Egg_Creature6	Creature13	0.7	Creature14	0.3	Hard	0	25	17	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	
4					Egg_Creature6	Creature13	0.4	Creature14	0.6	Hard	0	30	17	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	
5					Egg_Creature6	Creature13	0.1	Creature14	0.9	Hard	0	40	17	0.4	0.6	0	0	0	0	0	0	0	0	0	0	0.4	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	MergeRune2	60			Egg_Creature7	Creature15	1	Creature16	0	Hard	0	15	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
2					Egg_Creature7	Creature15	0.9	Creature16	0.1	Hard	0	20	19	0.6	0.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3					Egg_Creature7	Creature15	0.7	Creature16	0.3	Hard	0	25	19	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	
4					Egg_Creature7	Creature15	0.4	Creature16	0.6	Hard	0	30	19	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	
5					Egg_Creature7	Creature15	0.1	Creature16	0.9	Hard	0	40	19	0.4	0.6	0	0	0	0	0	0	0	0	0	0	0.4	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	
1					Entity_Box	MergeRune1	0	MergeRune2	0	Hard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3					Res_Box	MergeRune1	0.5	MergeRune2	0	Hard	0.5	5	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	
4					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
5					Res_Box	MergeRune1	0	MergeRune2	0.5	Hard	0.5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	
6					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
7					Res_Box	MergeRune1	0.33	MergeRune2	0.33	Hard	0.34	4	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	
8					Res_Box	MergeRune1	0	MergeRune2	0	Hard	1	4	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	0	0	0	0	0	0	0	0	0	0.7	0.3	0	
9					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13					Res_Box	MergeRune1	1	MergeRune2	0	Hard	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
15					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
16					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
17					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
18					Res_Box	MergeRune1	0	MergeRune2	1	Hard	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
